"","N.patches","out1","outk","diff","out.pred.1","out.pred.k","max.inf.1","max.inf.k"
"1",0,0,0,0,0,0,0,0
"2",1,29.947148892087,29.913352188434,0.00112982000279004,29.7787297207569,29.7787297207569,9052.18312018172,9050.88772019353
"3",2,29.947148892087,29.9196598519048,0.000918761788008053,29.7787297207569,29.7766894136254,9052.18312018172,9048.58632103183
"4",3,29.947148892087,29.9311574840436,0.000534272957933486,29.7787297207569,29.776015466887,9052.18312018172,9049.77027027693
"5",4,29.947148892087,29.9379621501434,0.000306859294480367,29.7787297207569,29.7756796360711,9052.18312018172,9048.79673083306
"6",5,29.947148892087,29.9358923445306,0.000376021781037331,29.7787297207569,29.7754785017259,9052.18312018172,9048.33362742159
"7",6,29.947148892087,29.9285344665664,0.000621962480033221,29.7787297207569,29.7753445635499,9052.18312018172,9049.0292761116
"8",7,29.947148892087,29.9275989663203,0.000653240702292218,29.7787297207569,29.7752489674666,9052.18312018172,9049.5077752389
"9",8,29.947148892087,29.9367835594654,0.000346240690853727,29.7787297207569,29.7751773108553,9052.18312018172,9049.91421861795
"10",9,29.947148892087,29.9336516602898,0.000450904953071647,29.7787297207569,29.7751216018885,9052.18312018172,9049.81959832577
"11",10,29.947148892087,29.943311692911,0.00012814879046401,29.7787297207569,29.775077049797,9052.18312018172,9049.39239848106
"12",11,29.947148892087,29.937615113733,0.000318454837424916,29.7787297207569,29.7750406080527,9052.18312018172,9049.09774360708
"13",12,29.947148892087,29.9349533969841,0.000407399835942569,29.7787297207569,29.7750102467821,9052.18312018172,9049.37204607823
"14",13,29.947148892087,29.9375709619889,0.000319930100884183,29.7787297207569,29.7749845613384,9052.18312018172,9049.57045629059
"15",14,29.947148892087,29.9379874103605,0.000306015284221753,29.7787297207569,29.7749625487903,9052.18312018172,9049.30948865598
"16",15,29.947148892087,29.9366461444282,0.000350832474957494,29.7787297207569,29.7749434738961,9052.18312018172,9049.52584728018
"17",16,29.947148892087,29.9341145659704,0.000435433828778696,29.7787297207569,29.7749267853798,9052.18312018172,9049.51844880072
"18",17,29.947148892087,29.9316028903519,0.000519384203779155,29.7787297207569,29.7749120617809,9052.18312018172,9049.34225659363
"19",18,29.947148892087,29.9290162620429,0.000605854528770363,29.7787297207569,29.774898975367,9052.18312018172,9049.49679363265
"20",19,29.947148892087,29.9306947161405,0.000549742533625821,29.7787297207569,29.7748872674511,9052.18312018172,9049.6179665708
"21",20,29.947148892087,29.9339963846361,0.000439383611926844,29.7787297207569,29.7748767311187,9052.18312018172,9049.72973283201
"22",21,29.947148892087,29.9339587226924,0.000440642332568739,29.7787297207569,29.774867198893,9052.18312018172,9049.5526535861
"23",22,29.947148892087,29.9352594621148,0.000397171435483637,29.7787297207569,29.7748585337659,9052.18312018172,9049.42245927012
"24",23,29.947148892087,29.9334210951222,0.000458611026154587,29.7787297207569,29.7748506225714,9052.18312018172,9049.28293700756
"25",24,29.947148892087,29.9309803528483,0.000540194108178914,29.7787297207569,29.7748433710145,9052.18312018172,9049.39469397656
"26",25,29.947148892087,29.9306302901597,0.000551896226946399,29.7787297207569,29.7748366998961,9052.18312018172,9049.51323913609
