"","mean_beta","sigma_beta","outlier_rand","max_inf_rand","time_max_rand","outlier_mean","max_inf_mean","time_max_mean","diff_outl","diff_inf"
"957",1.07939695227537,0.0173842837987289,9.61224781294401,50642.3500262747,0,9.61562331010176,50622.1113223746,0,0,0
"958",4.66831852302956e-15,8.01963548248029e-08,-2.00988806358588,100,0,-2.00988806358588,100,0,0,0
"959",6.0403278197174e-12,5.68818924535112e-09,-2.00948669231002,100,0,-2.00948669231002,100,0,0,0
"960",4.71851412968196e-05,2.99204065943223e-12,-2.00922388532738,100,0,-2.00922388532761,100,0,0,0
"961",0.000405514407587145,2.06433993754838e-11,-2.00639076699192,100,0,-2.00639076699396,100,0,0,0
"962",9.52990021859924e-13,2.11375282510227e-12,-2.00975826548052,100,0,-2.00975826548035,100,0,0,0
"963",1.25952583479447e-05,0.184257562050414,-2.00962446444921,100,0,-2.00962446444921,100,0,0,0
"964",0.000796918601941067,0.00100926458142315,-2.00015247983313,100,0,-2.00010709534178,100,0,0,0
"965",1.34711692829331,0.106686630698717,12.6860028438475,58277.7657021002,0,12.6918397902755,58157.9935221886,0,0,0
"966",3.82880208359426e-09,1.03291859914426e-07,-2.00949472727806,100,0,-2.00949473976956,100,0,0,0
"967",1.01872854071751e-17,1.53177071072854e-31,-2.00957128064099,100,0,-2.00957128064099,100,0,0,0
"968",0.453910609932846,3.65330184368609e-11,2.95291412238758,19208.364768068,0,2.95291412238721,19208.3647681194,0,0,0
"969",1.4767123842676,0.000647579187679996,13.979198906915,59969.8118530863,0,13.9791078182395,59969.7486073563,0,0,0
"970",7.98403431855961e-15,1.48030483453227e-10,-2.00991404504777,100,0,-2.00991404504777,100,0,0,0
"971",0.00477290680061777,0.0346011574718897,-1.96641902068824,100,0,-1.97041016666762,100,0,0,0
"972",1.00553781626023e-09,0.0028054351262402,-2.01042455050879,100,0,-2.01042455050879,100,0,0,0
"973",5.90895573992193e-17,1.98936193914532e-08,-2.01036457569274,100,0,-2.01036457569274,100,0,0,0
"974",5.77261733040629,8.52895571758161,78.8935862843281,85448.9698896676,0,64.693399381827,85770.150458809,0,0.18,0
"975",7.97248322303894e-27,2.09704433861513e-09,-2.00993989303419,100,0,-2.00993989303419,100,0,0,0
"976",0.523334058174459,0.16439158647839,3.70768965079202,24691.2442776345,0,3.66110343260412,24113.0622105827,0,0.01,0.02
"977",0.309674285356739,0.454817594659956,2.93596399021802,19704.7850413102,0,2.25910650064082,13415.8974484649,0,0.23,0.32
"978",0.000330797089609949,2.80200159807747,-2.00959259923286,100,0,-2.00959259923286,100,0,0,0
"979",7.03933766032627e-06,0.00494008436453429,-2.00980459924384,100,0,-2.00980459924384,100,0,0,0
"980",0.353213757822751,1.30205093655701,6.60428375322007,43685.0890431272,0,2.14975517257547,12451.0744398254,0,0.67,0.71
"981",0.00283512078734342,2.07053130030822e-12,-1.97905111188437,100,0,-1.97905111188445,100,0,0,0
"982",0.0392357695687078,1.33856439223919e-05,-1.57873783671703,100,0,-1.5787391989402,100,0,0,0
"983",4.90533878796164e-21,8.33818061360335,-2.01009368495004,100,0,-2.01009368495004,100,0,0,0
"984",0.00605714468981176,0.0134275425492996,-1.92426266791785,100,0,-1.92808890019347,100,0,0,0
"985",2.32596362567216e-07,0.0347846783290134,-2.00969703593722,100,0,-2.00969703593722,100,0,0,0
"986",0.00942521617112045,3.19915590399103e-06,-1.906706471237,100,0,-1.90670631286268,100,0,0,0
"987",1.30878642202043e-29,2.87542118779758e-11,-2.00979632222633,100,0,-2.00979632222633,100,0,0,0
"988",0.67215882514044,0.312270963637601,5.58866068858568,34787.5238102624,0,5.42001643759732,34344.0452934665,0,0.03,0.01
"989",1.14769652653022e-07,0.0277834228255515,-2.00971272318683,100,0,-2.00971272318683,100,0,0,0
"990",78.0717436987409,0.00799519114231978,847.116286594786,89005.8485974747,0,847.115143471581,89005.8488294996,0,0,0
"991",5.60799247260495e-16,1.28877898073419,-2.00984834212545,100,0,-2.00984834212545,100,0,0,0
"992",0.165818909193695,0.11510967685537,-0.220433576205322,103.399051753651,0,-0.258513183177286,103.184303722294,0,-0.17,0
"993",4.34509570711832e-09,0.000472430266724799,-2.00988799699151,100,0,-2.00988799699151,100,0,0,0
"994",0.0834093573392061,1.3481018077002e-11,-1.10154923847627,100,0,-1.10154923847888,100,0,0,0
"995",3.40125631169691e-13,0.0130645773770164,-2.01020926241054,100,0,-2.01020926241054,100,0,0,0
"996",2.74387071319367,1.2622440190355e-06,27.552372896667,74617.3183222463,0,27.5523728163416,74617.3182491158,0,0,0
"997",0.0058500114684999,0.796078355904625,-2.0096534811702,100,0,-2.00965348117024,100,0,0,0
"998",1.14914770071113,2.63614275030607,19.396899655774,65411.3789351646,0,11.3383491189763,55008.6758952666,0,0.42,0.16
"999",2.42238484882918e-26,0.00816070645094073,-2.01019365550392,100,0,-2.01019365550392,100,0,0,0
"1000",5.78236317200359e-09,1.16111034883322e-05,-2.01026681236427,100,0,-2.01026681236427,100,0,0,0
"1001",0.0210019033605344,0.00193571021798949,-1.78137131859284,100,0,-1.78180934329679,100,0,0,0
"1002",3.16820425238122e-11,1.46634054039466e-08,-2.01032254445124,100,0,-2.01032254445124,100,0,0,0
"1003",20.6197582859209,0.00283285335282695,218.127208557296,90790.198666609,0,218.127544616619,90790.1952380215,0,0,0
"1004",0.1000496705513,1.84386164415546e-10,-0.904779555241185,100,0,-0.904779555241298,100,0,0,0
"1005",0.162520275288287,1.0472401225122e-06,-0.238713416248954,100.916206959834,0,-0.238713437412755,100.916242257241,0,0,0
"1006",2.98934293381286e-08,2.9187241984948e-05,-2.00977601538553,100,0,-2.00977601538553,100,0,0,0
"1007",0.207426671001177,0.870126297981963,2.46256421003653,16334.1159705329,0,-0.13245916697574,106.873199924493,0,1.05,0.99
"1008",0.00807307695782714,6.78165562010159e-22,-1.92153044363366,100,0,-1.92153044363366,100,0,0,0
"1009",0.0223597472031577,5.14853604341886,-2.01030666495682,100,0,-2.01030666495682,100,0,0,0
"1010",4.18776239001381e-08,0.00218390187714176,-2.00970051993205,100,0,-2.00970051993205,100,0,0,0
"1011",0.000119992959506761,9.81237198252616e-05,-2.00869213245621,100,0,-2.00870129999548,100,0,0,0
"1012",0.00515301188347702,2.44343618060555e-11,-1.95389460418004,100,0,-1.95389460417726,100,0,0,0
