"","beta","gamma","N","muw","state"
"146",0.02,0.8,100,0.55,FALSE
"147",0.02,0.8,100,0.56,FALSE
"148",0.02,0.8,100,0.57,FALSE
"149",0.02,0.8,100,0.58,FALSE
"150",0.02,0.8,100,0.59,FALSE
"151",0.02,0.8,100,0.6,FALSE
"152",0.02,0.8,100,0.61,FALSE
"153",0.02,0.8,100,0.62,FALSE
"154",0.02,0.8,100,0.63,FALSE
"155",0.02,0.8,100,0.64,FALSE
"156",0.02,0.8,100,0.65,FALSE
"157",0.02,0.8,100,0.66,FALSE
"158",0.02,0.8,100,0.67,FALSE
"159",0.02,0.8,100,0.68,FALSE
"160",0.02,0.8,100,0.69,FALSE
"161",0.02,0.8,100,0.7,FALSE
"162",0.02,0.8,100,0.71,FALSE
"163",0.02,0.8,100,0.72,FALSE
"164",0.02,0.8,100,0.73,FALSE
"165",0.02,0.8,100,0.74,FALSE
"166",0.02,0.8,100,0.75,FALSE
"167",0.02,0.8,100,0.76,FALSE
"168",0.02,0.8,100,0.77,FALSE
"169",0.02,0.8,100,0.78,FALSE
"170",0.02,0.8,100,0.79,FALSE
"171",0.02,0.8,100,0.8,FALSE
"172",0.02,0.8,100,0.81,FALSE
"173",0.02,0.8,100,0.82,FALSE
"174",0.02,0.8,100,0.83,FALSE
"175",0.02,0.8,100,0.84,FALSE
"176",0.02,0.8,100,0.85,FALSE
"177",0.02,0.8,100,0.86,FALSE
"178",0.02,0.8,100,0.87,FALSE
"179",0.02,0.8,100,0.88,FALSE
"180",0.02,0.8,100,0.89,FALSE
"181",0.02,0.8,100,0.9,FALSE
"182",0.03,0.8,100,0.01,TRUE
"183",0.03,0.8,100,0.02,TRUE
"184",0.03,0.8,100,0.03,TRUE
"185",0.03,0.8,100,0.04,TRUE
"186",0.03,0.8,100,0.05,TRUE
"187",0.03,0.8,100,0.06,TRUE
"188",0.03,0.8,100,0.07,TRUE
"189",0.03,0.8,100,0.08,TRUE
"190",0.03,0.8,100,0.09,TRUE
"191",0.03,0.8,100,0.1,TRUE
"192",0.03,0.8,100,0.11,TRUE
"193",0.03,0.8,100,0.12,TRUE
"194",0.03,0.8,100,0.13,TRUE
"195",0.03,0.8,100,0.14,TRUE
"196",0.03,0.8,100,0.15,TRUE
"197",0.03,0.8,100,0.16,TRUE
"198",0.03,0.8,100,0.17,TRUE
"199",0.03,0.8,100,0.18,TRUE
"200",0.03,0.8,100,0.19,TRUE
"201",0.03,0.8,100,0.2,TRUE
"202",0.03,0.8,100,0.21,TRUE
"203",0.03,0.8,100,0.22,TRUE
"204",0.03,0.8,100,0.23,TRUE
"205",0.03,0.8,100,0.24,TRUE
"206",0.03,0.8,100,0.25,TRUE
"207",0.03,0.8,100,0.26,FALSE
"208",0.03,0.8,100,0.27,FALSE
"209",0.03,0.8,100,0.28,FALSE
"210",0.03,0.8,100,0.29,FALSE
"211",0.03,0.8,100,0.3,FALSE
"212",0.03,0.8,100,0.31,FALSE
"213",0.03,0.8,100,0.32,FALSE
"214",0.03,0.8,100,0.33,FALSE
"215",0.03,0.8,100,0.34,FALSE
"216",0.03,0.8,100,0.35,FALSE
"217",0.03,0.8,100,0.36,FALSE
"218",0.03,0.8,100,0.37,FALSE
"219",0.03,0.8,100,0.38,FALSE
"220",0.03,0.8,100,0.39,FALSE
"221",0.03,0.8,100,0.4,FALSE
"222",0.03,0.8,100,0.41,FALSE
"223",0.03,0.8,100,0.42,FALSE
"224",0.03,0.8,100,0.43,FALSE
"225",0.03,0.8,100,0.44,FALSE
"226",0.03,0.8,100,0.45,FALSE
"227",0.03,0.8,100,0.46,FALSE
"228",0.03,0.8,100,0.47,FALSE
"229",0.03,0.8,100,0.48,FALSE
"230",0.03,0.8,100,0.49,FALSE
"231",0.03,0.8,100,0.5,FALSE
"232",0.03,0.8,100,0.51,FALSE
"233",0.03,0.8,100,0.52,FALSE
"234",0.03,0.8,100,0.53,FALSE
"235",0.03,0.8,100,0.54,FALSE
"236",0.03,0.8,100,0.55,FALSE
"237",0.03,0.8,100,0.56,FALSE
"238",0.03,0.8,100,0.57,FALSE
"239",0.03,0.8,100,0.58,FALSE
"240",0.03,0.8,100,0.59,FALSE
"241",0.03,0.8,100,0.6,FALSE
"242",0.03,0.8,100,0.61,FALSE
"243",0.03,0.8,100,0.62,FALSE
"244",0.03,0.8,100,0.63,FALSE
"245",0.03,0.8,100,0.64,FALSE
"246",0.03,0.8,100,0.65,FALSE
"247",0.03,0.8,100,0.66,FALSE
"248",0.03,0.8,100,0.67,FALSE
"249",0.03,0.8,100,0.68,FALSE
"250",0.03,0.8,100,0.69,FALSE
"251",0.03,0.8,100,0.7,FALSE
"252",0.03,0.8,100,0.71,FALSE
"253",0.03,0.8,100,0.72,FALSE
"254",0.03,0.8,100,0.73,FALSE
"255",0.03,0.8,100,0.74,FALSE
"256",0.03,0.8,100,0.75,FALSE
"257",0.03,0.8,100,0.76,FALSE
"258",0.03,0.8,100,0.77,FALSE
"259",0.03,0.8,100,0.78,FALSE
"260",0.03,0.8,100,0.79,FALSE
"261",0.03,0.8,100,0.8,FALSE
"262",0.03,0.8,100,0.81,FALSE
"263",0.03,0.8,100,0.82,FALSE
"264",0.03,0.8,100,0.83,FALSE
"265",0.03,0.8,100,0.84,FALSE
"266",0.03,0.8,100,0.85,FALSE
"267",0.03,0.8,100,0.86,FALSE
"268",0.03,0.8,100,0.87,FALSE
"269",0.03,0.8,100,0.88,FALSE
"270",0.03,0.8,100,0.89,FALSE
"271",0.03,0.8,100,0.9,FALSE
"272",0.04,0.8,100,0.01,TRUE
"273",0.04,0.8,100,0.02,TRUE
"274",0.04,0.8,100,0.03,TRUE
"275",0.04,0.8,100,0.04,TRUE
"276",0.04,0.8,100,0.05,TRUE
"277",0.04,0.8,100,0.06,TRUE
"278",0.04,0.8,100,0.07,TRUE
"279",0.04,0.8,100,0.08,TRUE
"280",0.04,0.8,100,0.09,TRUE
"281",0.04,0.8,100,0.1,TRUE
"282",0.04,0.8,100,0.11,TRUE
"283",0.04,0.8,100,0.12,TRUE
"284",0.04,0.8,100,0.13,TRUE
"285",0.04,0.8,100,0.14,TRUE
"286",0.04,0.8,100,0.15,TRUE
"287",0.04,0.8,100,0.16,TRUE
"288",0.04,0.8,100,0.17,TRUE
"289",0.04,0.8,100,0.18,TRUE
"290",0.04,0.8,100,0.19,TRUE
"291",0.04,0.8,100,0.2,FALSE
"292",0.04,0.8,100,0.21,FALSE
"293",0.04,0.8,100,0.22,FALSE
"294",0.04,0.8,100,0.23,FALSE
"295",0.04,0.8,100,0.24,FALSE
"296",0.04,0.8,100,0.25,FALSE
"297",0.04,0.8,100,0.26,FALSE
"298",0.04,0.8,100,0.27,FALSE
"299",0.04,0.8,100,0.28,FALSE
"300",0.04,0.8,100,0.29,FALSE
"301",0.04,0.8,100,0.3,FALSE
"302",0.04,0.8,100,0.31,FALSE
"303",0.04,0.8,100,0.32,FALSE
"304",0.04,0.8,100,0.33,FALSE
"305",0.04,0.8,100,0.34,FALSE
"306",0.04,0.8,100,0.35,FALSE
"307",0.04,0.8,100,0.36,FALSE
"308",0.04,0.8,100,0.37,FALSE
"309",0.04,0.8,100,0.38,FALSE
"310",0.04,0.8,100,0.39,FALSE
"311",0.04,0.8,100,0.4,FALSE
"312",0.04,0.8,100,0.41,FALSE
"313",0.04,0.8,100,0.42,FALSE
"314",0.04,0.8,100,0.43,FALSE
"315",0.04,0.8,100,0.44,FALSE
"316",0.04,0.8,100,0.45,FALSE
"317",0.04,0.8,100,0.46,FALSE
"318",0.04,0.8,100,0.47,FALSE
"319",0.04,0.8,100,0.48,FALSE
"320",0.04,0.8,100,0.49,FALSE
"321",0.04,0.8,100,0.5,FALSE
"322",0.04,0.8,100,0.51,FALSE
"323",0.04,0.8,100,0.52,FALSE
"324",0.04,0.8,100,0.53,FALSE
"325",0.04,0.8,100,0.54,FALSE
"326",0.04,0.8,100,0.55,FALSE
"327",0.04,0.8,100,0.56,FALSE
"328",0.04,0.8,100,0.57,FALSE
"329",0.04,0.8,100,0.58,FALSE
"330",0.04,0.8,100,0.59,FALSE
"331",0.04,0.8,100,0.6,FALSE
"332",0.04,0.8,100,0.61,FALSE
"333",0.04,0.8,100,0.62,FALSE
"334",0.04,0.8,100,0.63,FALSE
"335",0.04,0.8,100,0.64,FALSE
"336",0.04,0.8,100,0.65,FALSE
"337",0.04,0.8,100,0.66,FALSE
"338",0.04,0.8,100,0.67,FALSE
"339",0.04,0.8,100,0.68,FALSE
"340",0.04,0.8,100,0.69,FALSE
"341",0.04,0.8,100,0.7,FALSE
"342",0.04,0.8,100,0.71,FALSE
"343",0.04,0.8,100,0.72,FALSE
"344",0.04,0.8,100,0.73,FALSE
"345",0.04,0.8,100,0.74,FALSE
"346",0.04,0.8,100,0.75,FALSE
"347",0.04,0.8,100,0.76,FALSE
"348",0.04,0.8,100,0.77,FALSE
"349",0.04,0.8,100,0.78,FALSE
"350",0.04,0.8,100,0.79,FALSE
"351",0.04,0.8,100,0.8,FALSE
"352",0.04,0.8,100,0.81,FALSE
"353",0.04,0.8,100,0.82,FALSE
"354",0.04,0.8,100,0.83,FALSE
"355",0.04,0.8,100,0.84,FALSE
"356",0.04,0.8,100,0.85,FALSE
"357",0.04,0.8,100,0.86,FALSE
"358",0.04,0.8,100,0.87,FALSE
"359",0.04,0.8,100,0.88,FALSE
"360",0.04,0.8,100,0.89,FALSE
"361",0.04,0.8,100,0.9,FALSE
"362",0.05,0.8,100,0.01,TRUE
"363",0.05,0.8,100,0.02,TRUE
"364",0.05,0.8,100,0.03,TRUE
"365",0.05,0.8,100,0.04,TRUE
"366",0.05,0.8,100,0.05,TRUE
"367",0.05,0.8,100,0.06,TRUE
"368",0.05,0.8,100,0.07,TRUE
"369",0.05,0.8,100,0.08,TRUE
"370",0.05,0.8,100,0.09,TRUE
"371",0.05,0.8,100,0.1,TRUE
"372",0.05,0.8,100,0.11,TRUE
"373",0.05,0.8,100,0.12,TRUE
"374",0.05,0.8,100,0.13,TRUE
"375",0.05,0.8,100,0.14,TRUE
"376",0.05,0.8,100,0.15,TRUE
"377",0.05,0.8,100,0.16,FALSE
"378",0.05,0.8,100,0.17,FALSE
"379",0.05,0.8,100,0.18,FALSE
"380",0.05,0.8,100,0.19,FALSE
"381",0.05,0.8,100,0.2,FALSE
"382",0.05,0.8,100,0.21,FALSE
"383",0.05,0.8,100,0.22,FALSE
"384",0.05,0.8,100,0.23,FALSE
"385",0.05,0.8,100,0.24,FALSE
"386",0.05,0.8,100,0.25,FALSE
"387",0.05,0.8,100,0.26,FALSE
"388",0.05,0.8,100,0.27,FALSE
"389",0.05,0.8,100,0.28,FALSE
"390",0.05,0.8,100,0.29,FALSE
"391",0.05,0.8,100,0.3,FALSE
"392",0.05,0.8,100,0.31,FALSE
"393",0.05,0.8,100,0.32,FALSE
"394",0.05,0.8,100,0.33,FALSE
"395",0.05,0.8,100,0.34,FALSE
"396",0.05,0.8,100,0.35,FALSE
"397",0.05,0.8,100,0.36,FALSE
"398",0.05,0.8,100,0.37,FALSE
"399",0.05,0.8,100,0.38,FALSE
"400",0.05,0.8,100,0.39,FALSE
"401",0.05,0.8,100,0.4,FALSE
"402",0.05,0.8,100,0.41,FALSE
"403",0.05,0.8,100,0.42,FALSE
"404",0.05,0.8,100,0.43,FALSE
"405",0.05,0.8,100,0.44,FALSE
"406",0.05,0.8,100,0.45,FALSE
"407",0.05,0.8,100,0.46,FALSE
"408",0.05,0.8,100,0.47,FALSE
"409",0.05,0.8,100,0.48,FALSE
"410",0.05,0.8,100,0.49,FALSE
"411",0.05,0.8,100,0.5,FALSE
"412",0.05,0.8,100,0.51,FALSE
"413",0.05,0.8,100,0.52,FALSE
"414",0.05,0.8,100,0.53,FALSE
"415",0.05,0.8,100,0.54,FALSE
"416",0.05,0.8,100,0.55,FALSE
"417",0.05,0.8,100,0.56,FALSE
"418",0.05,0.8,100,0.57,FALSE
"419",0.05,0.8,100,0.58,FALSE
"420",0.05,0.8,100,0.59,FALSE
"421",0.05,0.8,100,0.6,FALSE
"422",0.05,0.8,100,0.61,FALSE
"423",0.05,0.8,100,0.62,FALSE
"424",0.05,0.8,100,0.63,FALSE
"425",0.05,0.8,100,0.64,FALSE
"426",0.05,0.8,100,0.65,FALSE
"427",0.05,0.8,100,0.66,FALSE
"428",0.05,0.8,100,0.67,FALSE
"429",0.05,0.8,100,0.68,FALSE
"430",0.05,0.8,100,0.69,FALSE
"431",0.05,0.8,100,0.7,FALSE
"432",0.05,0.8,100,0.71,FALSE
"433",0.05,0.8,100,0.72,FALSE
"434",0.05,0.8,100,0.73,FALSE
"435",0.05,0.8,100,0.74,FALSE
"436",0.05,0.8,100,0.75,FALSE
"437",0.05,0.8,100,0.76,FALSE
"438",0.05,0.8,100,0.77,FALSE
"439",0.05,0.8,100,0.78,FALSE
"440",0.05,0.8,100,0.79,FALSE
"441",0.05,0.8,100,0.8,FALSE
"442",0.05,0.8,100,0.81,FALSE
"443",0.05,0.8,100,0.82,FALSE
"444",0.05,0.8,100,0.83,FALSE
"445",0.05,0.8,100,0.84,FALSE
"446",0.05,0.8,100,0.85,FALSE
"447",0.05,0.8,100,0.86,FALSE
"448",0.05,0.8,100,0.87,FALSE
"449",0.05,0.8,100,0.88,FALSE
"450",0.05,0.8,100,0.89,FALSE
"451",0.05,0.8,100,0.9,FALSE
"452",0.06,0.8,100,0.01,TRUE
"453",0.06,0.8,100,0.02,TRUE
"454",0.06,0.8,100,0.03,TRUE
"455",0.06,0.8,100,0.04,TRUE
"456",0.06,0.8,100,0.05,TRUE
"457",0.06,0.8,100,0.06,TRUE
"458",0.06,0.8,100,0.07,TRUE
"459",0.06,0.8,100,0.08,TRUE
"460",0.06,0.8,100,0.09,TRUE
"461",0.06,0.8,100,0.1,TRUE
"462",0.06,0.8,100,0.11,TRUE
"463",0.06,0.8,100,0.12,TRUE
"464",0.06,0.8,100,0.13,FALSE
"465",0.06,0.8,100,0.14,FALSE
"466",0.06,0.8,100,0.15,FALSE
"467",0.06,0.8,100,0.16,FALSE
"468",0.06,0.8,100,0.17,FALSE
"469",0.06,0.8,100,0.18,FALSE
"470",0.06,0.8,100,0.19,FALSE
"471",0.06,0.8,100,0.2,FALSE
"472",0.06,0.8,100,0.21,FALSE
"473",0.06,0.8,100,0.22,FALSE
"474",0.06,0.8,100,0.23,FALSE
"475",0.06,0.8,100,0.24,FALSE
"476",0.06,0.8,100,0.25,FALSE
"477",0.06,0.8,100,0.26,FALSE
"478",0.06,0.8,100,0.27,FALSE
"479",0.06,0.8,100,0.28,FALSE
"480",0.06,0.8,100,0.29,FALSE
"481",0.06,0.8,100,0.3,FALSE
"482",0.06,0.8,100,0.31,FALSE
"483",0.06,0.8,100,0.32,FALSE
"484",0.06,0.8,100,0.33,FALSE
"485",0.06,0.8,100,0.34,FALSE
"486",0.06,0.8,100,0.35,FALSE
"487",0.06,0.8,100,0.36,FALSE
"488",0.06,0.8,100,0.37,FALSE
"489",0.06,0.8,100,0.38,FALSE
"490",0.06,0.8,100,0.39,FALSE
"491",0.06,0.8,100,0.4,FALSE
"492",0.06,0.8,100,0.41,FALSE
"493",0.06,0.8,100,0.42,FALSE
"494",0.06,0.8,100,0.43,FALSE
"495",0.06,0.8,100,0.44,FALSE
"496",0.06,0.8,100,0.45,FALSE
"497",0.06,0.8,100,0.46,FALSE
"498",0.06,0.8,100,0.47,FALSE
"499",0.06,0.8,100,0.48,FALSE
"500",0.06,0.8,100,0.49,FALSE
"501",0.06,0.8,100,0.5,FALSE
"502",0.06,0.8,100,0.51,FALSE
"503",0.06,0.8,100,0.52,FALSE
"504",0.06,0.8,100,0.53,FALSE
"505",0.06,0.8,100,0.54,FALSE
