"","beta","gamma","N","muw","state"
"1684",0.19,0.8,100,0.63,FALSE
"1685",0.19,0.8,100,0.64,FALSE
"1686",0.19,0.8,100,0.65,FALSE
"1687",0.19,0.8,100,0.66,FALSE
"1688",0.19,0.8,100,0.67,FALSE
"1689",0.19,0.8,100,0.68,FALSE
"1690",0.19,0.8,100,0.69,FALSE
"1691",0.19,0.8,100,0.7,FALSE
"1692",0.19,0.8,100,0.71,FALSE
"1693",0.19,0.8,100,0.72,FALSE
"1694",0.19,0.8,100,0.73,FALSE
"1695",0.19,0.8,100,0.74,FALSE
"1696",0.19,0.8,100,0.75,FALSE
"1697",0.19,0.8,100,0.76,FALSE
"1698",0.19,0.8,100,0.77,FALSE
"1699",0.19,0.8,100,0.78,FALSE
"1700",0.19,0.8,100,0.79,FALSE
"1701",0.19,0.8,100,0.8,FALSE
"1702",0.19,0.8,100,0.81,FALSE
"1703",0.19,0.8,100,0.82,FALSE
"1704",0.19,0.8,100,0.83,FALSE
"1705",0.19,0.8,100,0.84,FALSE
"1706",0.19,0.8,100,0.85,FALSE
"1707",0.19,0.8,100,0.86,FALSE
"1708",0.19,0.8,100,0.87,FALSE
"1709",0.19,0.8,100,0.88,FALSE
"1710",0.19,0.8,100,0.89,FALSE
"1711",0.19,0.8,100,0.9,FALSE
"1712",0.2,0.8,100,0.01,TRUE
"1713",0.2,0.8,100,0.02,TRUE
"1714",0.2,0.8,100,0.03,TRUE
"1715",0.2,0.8,100,0.04,FALSE
"1716",0.2,0.8,100,0.05,FALSE
"1717",0.2,0.8,100,0.06,FALSE
"1718",0.2,0.8,100,0.07,FALSE
"1719",0.2,0.8,100,0.08,FALSE
"1720",0.2,0.8,100,0.09,FALSE
"1721",0.2,0.8,100,0.1,FALSE
"1722",0.2,0.8,100,0.11,FALSE
"1723",0.2,0.8,100,0.12,FALSE
"1724",0.2,0.8,100,0.13,FALSE
"1725",0.2,0.8,100,0.14,FALSE
"1726",0.2,0.8,100,0.15,FALSE
"1727",0.2,0.8,100,0.16,FALSE
"1728",0.2,0.8,100,0.17,FALSE
"1729",0.2,0.8,100,0.18,FALSE
"1730",0.2,0.8,100,0.19,FALSE
"1731",0.2,0.8,100,0.2,FALSE
"1732",0.2,0.8,100,0.21,FALSE
"1733",0.2,0.8,100,0.22,FALSE
"1734",0.2,0.8,100,0.23,FALSE
"1735",0.2,0.8,100,0.24,FALSE
"1736",0.2,0.8,100,0.25,FALSE
"1737",0.2,0.8,100,0.26,FALSE
"1738",0.2,0.8,100,0.27,FALSE
"1739",0.2,0.8,100,0.28,FALSE
"1740",0.2,0.8,100,0.29,FALSE
"1741",0.2,0.8,100,0.3,FALSE
"1742",0.2,0.8,100,0.31,FALSE
"1743",0.2,0.8,100,0.32,FALSE
"1744",0.2,0.8,100,0.33,FALSE
"1745",0.2,0.8,100,0.34,FALSE
"1746",0.2,0.8,100,0.35,FALSE
"1747",0.2,0.8,100,0.36,FALSE
"1748",0.2,0.8,100,0.37,FALSE
"1749",0.2,0.8,100,0.38,FALSE
"1750",0.2,0.8,100,0.39,FALSE
"1751",0.2,0.8,100,0.4,FALSE
"1752",0.2,0.8,100,0.41,FALSE
"1753",0.2,0.8,100,0.42,FALSE
"1754",0.2,0.8,100,0.43,FALSE
"1755",0.2,0.8,100,0.44,FALSE
"1756",0.2,0.8,100,0.45,FALSE
"1757",0.2,0.8,100,0.46,FALSE
"1758",0.2,0.8,100,0.47,FALSE
"1759",0.2,0.8,100,0.48,FALSE
"1760",0.2,0.8,100,0.49,FALSE
"1761",0.2,0.8,100,0.5,FALSE
"1762",0.2,0.8,100,0.51,FALSE
"1763",0.2,0.8,100,0.52,FALSE
"1764",0.2,0.8,100,0.53,FALSE
"1765",0.2,0.8,100,0.54,FALSE
"1766",0.2,0.8,100,0.55,FALSE
"1767",0.2,0.8,100,0.56,FALSE
"1768",0.2,0.8,100,0.57,FALSE
"1769",0.2,0.8,100,0.58,FALSE
"1770",0.2,0.8,100,0.59,FALSE
"1771",0.2,0.8,100,0.6,FALSE
"1772",0.2,0.8,100,0.61,FALSE
"1773",0.2,0.8,100,0.62,FALSE
"1774",0.2,0.8,100,0.63,FALSE
"1775",0.2,0.8,100,0.64,FALSE
"1776",0.2,0.8,100,0.65,FALSE
"1777",0.2,0.8,100,0.66,FALSE
"1778",0.2,0.8,100,0.67,FALSE
"1779",0.2,0.8,100,0.68,FALSE
"1780",0.2,0.8,100,0.69,FALSE
"1781",0.2,0.8,100,0.7,FALSE
"1782",0.2,0.8,100,0.71,FALSE
"1783",0.2,0.8,100,0.72,FALSE
"1784",0.2,0.8,100,0.73,FALSE
"1785",0.2,0.8,100,0.74,FALSE
"1786",0.2,0.8,100,0.75,FALSE
"1787",0.2,0.8,100,0.76,FALSE
"1788",0.2,0.8,100,0.77,FALSE
"1789",0.2,0.8,100,0.78,FALSE
"1790",0.2,0.8,100,0.79,FALSE
"1791",0.2,0.8,100,0.8,FALSE
"1792",0.2,0.8,100,0.81,FALSE
"1793",0.2,0.8,100,0.82,FALSE
"1794",0.2,0.8,100,0.83,FALSE
"1795",0.2,0.8,100,0.84,FALSE
"1796",0.2,0.8,100,0.85,FALSE
"1797",0.2,0.8,100,0.86,FALSE
"1798",0.2,0.8,100,0.87,FALSE
"1799",0.2,0.8,100,0.88,FALSE
"1800",0.2,0.8,100,0.89,FALSE
"1801",0.2,0.8,100,0.9,FALSE
"1802",0.21,0.8,100,0.01,TRUE
"1803",0.21,0.8,100,0.02,TRUE
"1804",0.21,0.8,100,0.03,FALSE
"1805",0.21,0.8,100,0.04,FALSE
"1806",0.21,0.8,100,0.05,FALSE
"1807",0.21,0.8,100,0.06,FALSE
"1808",0.21,0.8,100,0.07,FALSE
"1809",0.21,0.8,100,0.08,FALSE
"1810",0.21,0.8,100,0.09,FALSE
"1811",0.21,0.8,100,0.1,FALSE
"1812",0.21,0.8,100,0.11,FALSE
"1813",0.21,0.8,100,0.12,FALSE
"1814",0.21,0.8,100,0.13,FALSE
"1815",0.21,0.8,100,0.14,FALSE
"1816",0.21,0.8,100,0.15,FALSE
"1817",0.21,0.8,100,0.16,FALSE
"1818",0.21,0.8,100,0.17,FALSE
"1819",0.21,0.8,100,0.18,FALSE
"1820",0.21,0.8,100,0.19,FALSE
"1821",0.21,0.8,100,0.2,FALSE
"1822",0.21,0.8,100,0.21,FALSE
"1823",0.21,0.8,100,0.22,FALSE
"1824",0.21,0.8,100,0.23,FALSE
"1825",0.21,0.8,100,0.24,FALSE
"1826",0.21,0.8,100,0.25,FALSE
"1827",0.21,0.8,100,0.26,FALSE
"1828",0.21,0.8,100,0.27,FALSE
"1829",0.21,0.8,100,0.28,FALSE
"1830",0.21,0.8,100,0.29,FALSE
"1831",0.21,0.8,100,0.3,FALSE
"1832",0.21,0.8,100,0.31,FALSE
"1833",0.21,0.8,100,0.32,FALSE
"1834",0.21,0.8,100,0.33,FALSE
"1835",0.21,0.8,100,0.34,FALSE
"1836",0.21,0.8,100,0.35,FALSE
"1837",0.21,0.8,100,0.36,FALSE
"1838",0.21,0.8,100,0.37,FALSE
"1839",0.21,0.8,100,0.38,FALSE
"1840",0.21,0.8,100,0.39,FALSE
"1841",0.21,0.8,100,0.4,FALSE
"1842",0.21,0.8,100,0.41,FALSE
"1843",0.21,0.8,100,0.42,FALSE
"1844",0.21,0.8,100,0.43,FALSE
"1845",0.21,0.8,100,0.44,FALSE
"1846",0.21,0.8,100,0.45,FALSE
"1847",0.21,0.8,100,0.46,FALSE
"1848",0.21,0.8,100,0.47,FALSE
"1849",0.21,0.8,100,0.48,FALSE
"1850",0.21,0.8,100,0.49,FALSE
"1851",0.21,0.8,100,0.5,FALSE
"1852",0.21,0.8,100,0.51,FALSE
"1853",0.21,0.8,100,0.52,FALSE
"1854",0.21,0.8,100,0.53,FALSE
"1855",0.21,0.8,100,0.54,FALSE
"1856",0.21,0.8,100,0.55,FALSE
"1857",0.21,0.8,100,0.56,FALSE
"1858",0.21,0.8,100,0.57,FALSE
"1859",0.21,0.8,100,0.58,FALSE
"1860",0.21,0.8,100,0.59,FALSE
"1861",0.21,0.8,100,0.6,FALSE
"1862",0.21,0.8,100,0.61,FALSE
"1863",0.21,0.8,100,0.62,FALSE
"1864",0.21,0.8,100,0.63,FALSE
"1865",0.21,0.8,100,0.64,FALSE
"1866",0.21,0.8,100,0.65,FALSE
"1867",0.21,0.8,100,0.66,FALSE
"1868",0.21,0.8,100,0.67,FALSE
"1869",0.21,0.8,100,0.68,FALSE
"1870",0.21,0.8,100,0.69,FALSE
"1871",0.21,0.8,100,0.7,FALSE
"1872",0.21,0.8,100,0.71,FALSE
"1873",0.21,0.8,100,0.72,FALSE
"1874",0.21,0.8,100,0.73,FALSE
"1875",0.21,0.8,100,0.74,FALSE
"1876",0.21,0.8,100,0.75,FALSE
"1877",0.21,0.8,100,0.76,FALSE
"1878",0.21,0.8,100,0.77,FALSE
"1879",0.21,0.8,100,0.78,FALSE
"1880",0.21,0.8,100,0.79,FALSE
"1881",0.21,0.8,100,0.8,FALSE
"1882",0.21,0.8,100,0.81,FALSE
"1883",0.21,0.8,100,0.82,FALSE
"1884",0.21,0.8,100,0.83,FALSE
"1885",0.21,0.8,100,0.84,FALSE
"1886",0.21,0.8,100,0.85,FALSE
"1887",0.21,0.8,100,0.86,FALSE
"1888",0.21,0.8,100,0.87,FALSE
"1889",0.21,0.8,100,0.88,FALSE
"1890",0.21,0.8,100,0.89,FALSE
"1891",0.21,0.8,100,0.9,FALSE
"1892",0.22,0.8,100,0.01,TRUE
"1893",0.22,0.8,100,0.02,TRUE
"1894",0.22,0.8,100,0.03,FALSE
"1895",0.22,0.8,100,0.04,FALSE
"1896",0.22,0.8,100,0.05,FALSE
"1897",0.22,0.8,100,0.06,FALSE
"1898",0.22,0.8,100,0.07,FALSE
"1899",0.22,0.8,100,0.08,FALSE
"1900",0.22,0.8,100,0.09,FALSE
"1901",0.22,0.8,100,0.1,FALSE
"1902",0.22,0.8,100,0.11,FALSE
"1903",0.22,0.8,100,0.12,FALSE
"1904",0.22,0.8,100,0.13,FALSE
"1905",0.22,0.8,100,0.14,FALSE
"1906",0.22,0.8,100,0.15,FALSE
"1907",0.22,0.8,100,0.16,FALSE
"1908",0.22,0.8,100,0.17,FALSE
"1909",0.22,0.8,100,0.18,FALSE
"1910",0.22,0.8,100,0.19,FALSE
"1911",0.22,0.8,100,0.2,FALSE
"1912",0.22,0.8,100,0.21,FALSE
"1913",0.22,0.8,100,0.22,FALSE
"1914",0.22,0.8,100,0.23,FALSE
"1915",0.22,0.8,100,0.24,FALSE
"1916",0.22,0.8,100,0.25,FALSE
"1917",0.22,0.8,100,0.26,FALSE
"1918",0.22,0.8,100,0.27,FALSE
"1919",0.22,0.8,100,0.28,FALSE
"1920",0.22,0.8,100,0.29,FALSE
"1921",0.22,0.8,100,0.3,FALSE
"1922",0.22,0.8,100,0.31,FALSE
"1923",0.22,0.8,100,0.32,FALSE
"1924",0.22,0.8,100,0.33,FALSE
"1925",0.22,0.8,100,0.34,FALSE
"1926",0.22,0.8,100,0.35,FALSE
"1927",0.22,0.8,100,0.36,FALSE
"1928",0.22,0.8,100,0.37,FALSE
"1929",0.22,0.8,100,0.38,FALSE
"1930",0.22,0.8,100,0.39,FALSE
"1931",0.22,0.8,100,0.4,FALSE
"1932",0.22,0.8,100,0.41,FALSE
"1933",0.22,0.8,100,0.42,FALSE
"1934",0.22,0.8,100,0.43,FALSE
"1935",0.22,0.8,100,0.44,FALSE
"1936",0.22,0.8,100,0.45,FALSE
"1937",0.22,0.8,100,0.46,FALSE
"1938",0.22,0.8,100,0.47,FALSE
"1939",0.22,0.8,100,0.48,FALSE
"1940",0.22,0.8,100,0.49,FALSE
"1941",0.22,0.8,100,0.5,FALSE
"1942",0.22,0.8,100,0.51,FALSE
"1943",0.22,0.8,100,0.52,FALSE
"1944",0.22,0.8,100,0.53,FALSE
"1945",0.22,0.8,100,0.54,FALSE
"1946",0.22,0.8,100,0.55,FALSE
"1947",0.22,0.8,100,0.56,FALSE
"1948",0.22,0.8,100,0.57,FALSE
"1949",0.22,0.8,100,0.58,FALSE
"1950",0.22,0.8,100,0.59,FALSE
"1951",0.22,0.8,100,0.6,FALSE
"1952",0.22,0.8,100,0.61,FALSE
"1953",0.22,0.8,100,0.62,FALSE
"1954",0.22,0.8,100,0.63,FALSE
"1955",0.22,0.8,100,0.64,FALSE
"1956",0.22,0.8,100,0.65,FALSE
"1957",0.22,0.8,100,0.66,FALSE
"1958",0.22,0.8,100,0.67,FALSE
"1959",0.22,0.8,100,0.68,FALSE
"1960",0.22,0.8,100,0.69,FALSE
"1961",0.22,0.8,100,0.7,FALSE
"1962",0.22,0.8,100,0.71,FALSE
"1963",0.22,0.8,100,0.72,FALSE
"1964",0.22,0.8,100,0.73,FALSE
"1965",0.22,0.8,100,0.74,FALSE
"1966",0.22,0.8,100,0.75,FALSE
"1967",0.22,0.8,100,0.76,FALSE
"1968",0.22,0.8,100,0.77,FALSE
"1969",0.22,0.8,100,0.78,FALSE
"1970",0.22,0.8,100,0.79,FALSE
"1971",0.22,0.8,100,0.8,FALSE
"1972",0.22,0.8,100,0.81,FALSE
"1973",0.22,0.8,100,0.82,FALSE
"1974",0.22,0.8,100,0.83,FALSE
"1975",0.22,0.8,100,0.84,FALSE
"1976",0.22,0.8,100,0.85,FALSE
"1977",0.22,0.8,100,0.86,FALSE
"1978",0.22,0.8,100,0.87,FALSE
"1979",0.22,0.8,100,0.88,FALSE
"1980",0.22,0.8,100,0.89,FALSE
"1981",0.22,0.8,100,0.9,FALSE
"1982",0.23,0.8,100,0.01,TRUE
"1983",0.23,0.8,100,0.02,TRUE
"1984",0.23,0.8,100,0.03,FALSE
"1985",0.23,0.8,100,0.04,FALSE
"1986",0.23,0.8,100,0.05,FALSE
"1987",0.23,0.8,100,0.06,FALSE
"1988",0.23,0.8,100,0.07,FALSE
"1989",0.23,0.8,100,0.08,FALSE
"1990",0.23,0.8,100,0.09,FALSE
"1991",0.23,0.8,100,0.1,FALSE
"1992",0.23,0.8,100,0.11,FALSE
"1993",0.23,0.8,100,0.12,FALSE
"1994",0.23,0.8,100,0.13,FALSE
"1995",0.23,0.8,100,0.14,FALSE
"1996",0.23,0.8,100,0.15,FALSE
"1997",0.23,0.8,100,0.16,FALSE
"1998",0.23,0.8,100,0.17,FALSE
"1999",0.23,0.8,100,0.18,FALSE
"2000",0.23,0.8,100,0.19,FALSE
"2001",0.23,0.8,100,0.2,FALSE
"2002",0.23,0.8,100,0.21,FALSE
"2003",0.23,0.8,100,0.22,FALSE
"2004",0.23,0.8,100,0.23,FALSE
"2005",0.23,0.8,100,0.24,FALSE
"2006",0.23,0.8,100,0.25,FALSE
"2007",0.23,0.8,100,0.26,FALSE
"2008",0.23,0.8,100,0.27,FALSE
"2009",0.23,0.8,100,0.28,FALSE
"2010",0.23,0.8,100,0.29,FALSE
"2011",0.23,0.8,100,0.3,FALSE
"2012",0.23,0.8,100,0.31,FALSE
"2013",0.23,0.8,100,0.32,FALSE
"2014",0.23,0.8,100,0.33,FALSE
"2015",0.23,0.8,100,0.34,FALSE
"2016",0.23,0.8,100,0.35,FALSE
"2017",0.23,0.8,100,0.36,FALSE
"2018",0.23,0.8,100,0.37,FALSE
"2019",0.23,0.8,100,0.38,FALSE
"2020",0.23,0.8,100,0.39,FALSE
"2021",0.23,0.8,100,0.4,FALSE
"2022",0.23,0.8,100,0.41,FALSE
"2023",0.23,0.8,100,0.42,FALSE
"2024",0.23,0.8,100,0.43,FALSE
"2025",0.23,0.8,100,0.44,FALSE
"2026",0.23,0.8,100,0.45,FALSE
"2027",0.23,0.8,100,0.46,FALSE
"2028",0.23,0.8,100,0.47,FALSE
"2029",0.23,0.8,100,0.48,FALSE
"2030",0.23,0.8,100,0.49,FALSE
"2031",0.23,0.8,100,0.5,FALSE
"2032",0.23,0.8,100,0.51,FALSE
"2033",0.23,0.8,100,0.52,FALSE
"2034",0.23,0.8,100,0.53,FALSE
"2035",0.23,0.8,100,0.54,FALSE
"2036",0.23,0.8,100,0.55,FALSE
"2037",0.23,0.8,100,0.56,FALSE
"2038",0.23,0.8,100,0.57,FALSE
"2039",0.23,0.8,100,0.58,FALSE
"2040",0.23,0.8,100,0.59,FALSE
"2041",0.23,0.8,100,0.6,FALSE
"2042",0.23,0.8,100,0.61,FALSE
"2043",0.23,0.8,100,0.62,FALSE
"2044",0.23,0.8,100,0.63,FALSE
"2045",0.23,0.8,100,0.64,FALSE
"2046",0.23,0.8,100,0.65,FALSE
"2047",0.23,0.8,100,0.66,FALSE
"2048",0.23,0.8,100,0.67,FALSE
"2049",0.23,0.8,100,0.68,FALSE
"2050",0.23,0.8,100,0.69,FALSE
"2051",0.23,0.8,100,0.7,FALSE
"2052",0.23,0.8,100,0.71,FALSE
"2053",0.23,0.8,100,0.72,FALSE
"2054",0.23,0.8,100,0.73,FALSE
"2055",0.23,0.8,100,0.74,FALSE
"2056",0.23,0.8,100,0.75,FALSE
"2057",0.23,0.8,100,0.76,FALSE
"2058",0.23,0.8,100,0.77,FALSE
"2059",0.23,0.8,100,0.78,FALSE
"2060",0.23,0.8,100,0.79,FALSE
"2061",0.23,0.8,100,0.8,FALSE
"2062",0.23,0.8,100,0.81,FALSE
"2063",0.23,0.8,100,0.82,FALSE
"2064",0.23,0.8,100,0.83,FALSE
"2065",0.23,0.8,100,0.84,FALSE
"2066",0.23,0.8,100,0.85,FALSE
"2067",0.23,0.8,100,0.86,FALSE
"2068",0.23,0.8,100,0.87,FALSE
"2069",0.23,0.8,100,0.88,FALSE
"2070",0.23,0.8,100,0.89,FALSE
"2071",0.23,0.8,100,0.9,FALSE
"2072",0.24,0.8,100,0.01,TRUE
"2073",0.24,0.8,100,0.02,TRUE
"2074",0.24,0.8,100,0.03,FALSE
"2075",0.24,0.8,100,0.04,FALSE
"2076",0.24,0.8,100,0.05,FALSE
"2077",0.24,0.8,100,0.06,FALSE
"2078",0.24,0.8,100,0.07,FALSE
"2079",0.24,0.8,100,0.08,FALSE
"2080",0.24,0.8,100,0.09,FALSE
"2081",0.24,0.8,100,0.1,FALSE
"2082",0.24,0.8,100,0.11,FALSE
"2083",0.24,0.8,100,0.12,FALSE
"2084",0.24,0.8,100,0.13,FALSE
"2085",0.24,0.8,100,0.14,FALSE
"2086",0.24,0.8,100,0.15,FALSE
"2087",0.24,0.8,100,0.16,FALSE
"2088",0.24,0.8,100,0.17,FALSE
"2089",0.24,0.8,100,0.18,FALSE
"2090",0.24,0.8,100,0.19,FALSE
"2091",0.24,0.8,100,0.2,FALSE
"2092",0.24,0.8,100,0.21,FALSE
"2093",0.24,0.8,100,0.22,FALSE
"2094",0.24,0.8,100,0.23,FALSE
"2095",0.24,0.8,100,0.24,FALSE
"2096",0.24,0.8,100,0.25,FALSE
"2097",0.24,0.8,100,0.26,FALSE
"2098",0.24,0.8,100,0.27,FALSE
"2099",0.24,0.8,100,0.28,FALSE
"2100",0.24,0.8,100,0.29,FALSE
"2101",0.24,0.8,100,0.3,FALSE
"2102",0.24,0.8,100,0.31,FALSE
"2103",0.24,0.8,100,0.32,FALSE
"2104",0.24,0.8,100,0.33,FALSE
"2105",0.24,0.8,100,0.34,FALSE
"2106",0.24,0.8,100,0.35,FALSE
"2107",0.24,0.8,100,0.36,FALSE
"2108",0.24,0.8,100,0.37,FALSE
"2109",0.24,0.8,100,0.38,FALSE
"2110",0.24,0.8,100,0.39,FALSE
"2111",0.24,0.8,100,0.4,FALSE
"2112",0.24,0.8,100,0.41,FALSE
"2113",0.24,0.8,100,0.42,FALSE
"2114",0.24,0.8,100,0.43,FALSE
"2115",0.24,0.8,100,0.44,FALSE
"2116",0.24,0.8,100,0.45,FALSE
"2117",0.24,0.8,100,0.46,FALSE
"2118",0.24,0.8,100,0.47,FALSE
"2119",0.24,0.8,100,0.48,FALSE
"2120",0.24,0.8,100,0.49,FALSE
"2121",0.24,0.8,100,0.5,FALSE
"2122",0.24,0.8,100,0.51,FALSE
"2123",0.24,0.8,100,0.52,FALSE
"2124",0.24,0.8,100,0.53,FALSE
"2125",0.24,0.8,100,0.54,FALSE
"2126",0.24,0.8,100,0.55,FALSE
"2127",0.24,0.8,100,0.56,FALSE
"2128",0.24,0.8,100,0.57,FALSE
"2129",0.24,0.8,100,0.58,FALSE
"2130",0.24,0.8,100,0.59,FALSE
"2131",0.24,0.8,100,0.6,FALSE
"2132",0.24,0.8,100,0.61,FALSE
"2133",0.24,0.8,100,0.62,FALSE
"2134",0.24,0.8,100,0.63,FALSE
"2135",0.24,0.8,100,0.64,FALSE
"2136",0.24,0.8,100,0.65,FALSE
"2137",0.24,0.8,100,0.66,FALSE
"2138",0.24,0.8,100,0.67,FALSE
"2139",0.24,0.8,100,0.68,FALSE
"2140",0.24,0.8,100,0.69,FALSE
"2141",0.24,0.8,100,0.7,FALSE
"2142",0.24,0.8,100,0.71,FALSE
"2143",0.24,0.8,100,0.72,FALSE
"2144",0.24,0.8,100,0.73,FALSE
"2145",0.24,0.8,100,0.74,FALSE
"2146",0.24,0.8,100,0.75,FALSE
"2147",0.24,0.8,100,0.76,FALSE
"2148",0.24,0.8,100,0.77,FALSE
"2149",0.24,0.8,100,0.78,FALSE
"2150",0.24,0.8,100,0.79,FALSE
"2151",0.24,0.8,100,0.8,FALSE
"2152",0.24,0.8,100,0.81,FALSE
"2153",0.24,0.8,100,0.82,FALSE
"2154",0.24,0.8,100,0.83,FALSE
"2155",0.24,0.8,100,0.84,FALSE
"2156",0.24,0.8,100,0.85,FALSE
"2157",0.24,0.8,100,0.86,FALSE
"2158",0.24,0.8,100,0.87,FALSE
"2159",0.24,0.8,100,0.88,FALSE
"2160",0.24,0.8,100,0.89,FALSE
"2161",0.24,0.8,100,0.9,FALSE
"2162",0.25,0.8,100,0.01,TRUE
"2163",0.25,0.8,100,0.02,TRUE
"2164",0.25,0.8,100,0.03,FALSE
"2165",0.25,0.8,100,0.04,FALSE
"2166",0.25,0.8,100,0.05,FALSE
"2167",0.25,0.8,100,0.06,FALSE
"2168",0.25,0.8,100,0.07,FALSE
"2169",0.25,0.8,100,0.08,FALSE
"2170",0.25,0.8,100,0.09,FALSE
"2171",0.25,0.8,100,0.1,FALSE
"2172",0.25,0.8,100,0.11,FALSE
"2173",0.25,0.8,100,0.12,FALSE
"2174",0.25,0.8,100,0.13,FALSE
"2175",0.25,0.8,100,0.14,FALSE
"2176",0.25,0.8,100,0.15,FALSE
"2177",0.25,0.8,100,0.16,FALSE
"2178",0.25,0.8,100,0.17,FALSE
"2179",0.25,0.8,100,0.18,FALSE
"2180",0.25,0.8,100,0.19,FALSE
"2181",0.25,0.8,100,0.2,FALSE
"2182",0.25,0.8,100,0.21,FALSE
"2183",0.25,0.8,100,0.22,FALSE
"2184",0.25,0.8,100,0.23,FALSE
"2185",0.25,0.8,100,0.24,FALSE
"2186",0.25,0.8,100,0.25,FALSE
"2187",0.25,0.8,100,0.26,FALSE
"2188",0.25,0.8,100,0.27,FALSE
"2189",0.25,0.8,100,0.28,FALSE
"2190",0.25,0.8,100,0.29,FALSE
"2191",0.25,0.8,100,0.3,FALSE
"2192",0.25,0.8,100,0.31,FALSE
"2193",0.25,0.8,100,0.32,FALSE
"2194",0.25,0.8,100,0.33,FALSE
"2195",0.25,0.8,100,0.34,FALSE
"2196",0.25,0.8,100,0.35,FALSE
"2197",0.25,0.8,100,0.36,FALSE
"2198",0.25,0.8,100,0.37,FALSE
"2199",0.25,0.8,100,0.38,FALSE
"2200",0.25,0.8,100,0.39,FALSE
"2201",0.25,0.8,100,0.4,FALSE
"2202",0.25,0.8,100,0.41,FALSE
"2203",0.25,0.8,100,0.42,FALSE
"2204",0.25,0.8,100,0.43,FALSE
"2205",0.25,0.8,100,0.44,FALSE
"2206",0.25,0.8,100,0.45,FALSE
"2207",0.25,0.8,100,0.46,FALSE
"2208",0.25,0.8,100,0.47,FALSE
"2209",0.25,0.8,100,0.48,FALSE
"2210",0.25,0.8,100,0.49,FALSE
"2211",0.25,0.8,100,0.5,FALSE
"2212",0.25,0.8,100,0.51,FALSE
"2213",0.25,0.8,100,0.52,FALSE
"2214",0.25,0.8,100,0.53,FALSE
"2215",0.25,0.8,100,0.54,FALSE
"2216",0.25,0.8,100,0.55,FALSE
"2217",0.25,0.8,100,0.56,FALSE
"2218",0.25,0.8,100,0.57,FALSE
"2219",0.25,0.8,100,0.58,FALSE
"2220",0.25,0.8,100,0.59,FALSE
"2221",0.25,0.8,100,0.6,FALSE
"2222",0.25,0.8,100,0.61,FALSE
"2223",0.25,0.8,100,0.62,FALSE
"2224",0.25,0.8,100,0.63,FALSE
"2225",0.25,0.8,100,0.64,FALSE
"2226",0.25,0.8,100,0.65,FALSE
"2227",0.25,0.8,100,0.66,FALSE
"2228",0.25,0.8,100,0.67,FALSE
"2229",0.25,0.8,100,0.68,FALSE
"2230",0.25,0.8,100,0.69,FALSE
"2231",0.25,0.8,100,0.7,FALSE
"2232",0.25,0.8,100,0.71,FALSE
"2233",0.25,0.8,100,0.72,FALSE
"2234",0.25,0.8,100,0.73,FALSE
"2235",0.25,0.8,100,0.74,FALSE
"2236",0.25,0.8,100,0.75,FALSE
"2237",0.25,0.8,100,0.76,FALSE
"2238",0.25,0.8,100,0.77,FALSE
"2239",0.25,0.8,100,0.78,FALSE
"2240",0.25,0.8,100,0.79,FALSE
"2241",0.25,0.8,100,0.8,FALSE
"2242",0.25,0.8,100,0.81,FALSE
"2243",0.25,0.8,100,0.82,FALSE
"2244",0.25,0.8,100,0.83,FALSE
"2245",0.25,0.8,100,0.84,FALSE
"2246",0.25,0.8,100,0.85,FALSE
"2247",0.25,0.8,100,0.86,FALSE
"2248",0.25,0.8,100,0.87,FALSE
"2249",0.25,0.8,100,0.88,FALSE
"2250",0.25,0.8,100,0.89,FALSE
"2251",0.25,0.8,100,0.9,FALSE
"2252",0.26,0.8,100,0.01,TRUE
"2253",0.26,0.8,100,0.02,TRUE
"2254",0.26,0.8,100,0.03,FALSE
"2255",0.26,0.8,100,0.04,FALSE
"2256",0.26,0.8,100,0.05,FALSE
"2257",0.26,0.8,100,0.06,FALSE
"2258",0.26,0.8,100,0.07,FALSE
"2259",0.26,0.8,100,0.08,FALSE
"2260",0.26,0.8,100,0.09,FALSE
"2261",0.26,0.8,100,0.1,FALSE
"2262",0.26,0.8,100,0.11,FALSE
"2263",0.26,0.8,100,0.12,FALSE
"2264",0.26,0.8,100,0.13,FALSE
"2265",0.26,0.8,100,0.14,FALSE
"2266",0.26,0.8,100,0.15,FALSE
"2267",0.26,0.8,100,0.16,FALSE
"2268",0.26,0.8,100,0.17,FALSE
"2269",0.26,0.8,100,0.18,FALSE
"2270",0.26,0.8,100,0.19,FALSE
"2271",0.26,0.8,100,0.2,FALSE
"2272",0.26,0.8,100,0.21,FALSE
"2273",0.26,0.8,100,0.22,FALSE
"2274",0.26,0.8,100,0.23,FALSE
"2275",0.26,0.8,100,0.24,FALSE
"2276",0.26,0.8,100,0.25,FALSE
"2277",0.26,0.8,100,0.26,FALSE
"2278",0.26,0.8,100,0.27,FALSE
"2279",0.26,0.8,100,0.28,FALSE
"2280",0.26,0.8,100,0.29,FALSE
"2281",0.26,0.8,100,0.3,FALSE
"2282",0.26,0.8,100,0.31,FALSE
"2283",0.26,0.8,100,0.32,FALSE
"2284",0.26,0.8,100,0.33,FALSE
"2285",0.26,0.8,100,0.34,FALSE
"2286",0.26,0.8,100,0.35,FALSE
"2287",0.26,0.8,100,0.36,FALSE
"2288",0.26,0.8,100,0.37,FALSE
"2289",0.26,0.8,100,0.38,FALSE
"2290",0.26,0.8,100,0.39,FALSE
