"","N","mean"
"1",10,0.00217516632584211
"2",30,0.000504140937975461
"3",31,0.00252463291508566
"4",32,0.00201230525688151
"5",33,0.0043377236588507
"6",34,0.000199021781944472
"7",35,0.0209511673938155
"8",36,0.000168697969953159
"9",37,0.0191115229975632
"10",38,0.100803308062342
"11",39,0.000415493373638946
"12",40,0.000108170341769189
"13",41,0.00140667121221869
"14",42,5.70458404527451e-05
"15",43,0.0001527698544292
"16",44,8.91988002125914e-05
"17",45,0.00130348457159327
"18",46,0.000205870509103859
"19",47,0.000180909950068986
"20",48,0.000393221541669068
"21",49,0.000585714784491993
"22",50,0.045318126051021
"23",51,0.0203592946281504
"24",52,0.000638685723105981
"25",53,0.000282144389780449
"26",54,0.000543984155994681
"27",55,0.000180122431613432
"28",56,0.000303776101784462
"29",57,0.298837692453978
"30",58,0.00204217535428662
"31",59,0.000109947346955203
"32",60,2.61819541763694e-05
"33",61,0.000811607501230901
"34",62,9.26064310406281e-05
"35",63,0.000120977358190723
"36",64,0.000327841158586453
"37",65,0.00123747977928358
"38",66,0.000251064481895779
"39",67,0.0186195901744665
"40",68,0.0852062910478459
"41",69,9.62131582117967e-05
"42",70,0.000105621820617654
"43",71,0.000101558517488886
"44",72,2.29288989975088e-05
"45",73,0.000142825487083902
"46",74,4.40613296191556e-05
"47",75,6.11739418334766e-05
"48",76,0.000131879753525535
"49",77,0.00102941957935025
"50",78,0.000875823351498032
"51",79,0.000972036964121758
"52",80,0.000444478556171487
"53",81,0.000576066459376538
"54",82,0.000325173786574871
"55",83,0.0161774664163299
"56",84,0.000162167497695459
"57",85,8.50788010737365e-05
"58",86,0.000921297470822943
"59",87,0.000997396811151935
"60",88,0.000194743089719101
"61",89,0.000108132277608193
"62",90,9.44448307856211e-05
"63",91,5.24760390095996e-05
"64",92,5.00596258828134e-05
"65",93,2.18394022571683e-05
"66",94,5.45708249932043e-05
"67",95,0.0115208126039665
"68",96,1.8655750916733e-05
"69",97,0.000846375508764983
"70",98,0.000483349087573669
"71",99,0.000246967656886918
"72",100,1.07588877857171e-05
