"","N.patches","out1","outk","diff","out.pred.1","out.pred.k","max.inf.1","max.inf.k"
"1",0,0,0,0,0,0,0,0
"2",1,-0.339962783803919,-0.39020372069291,0.12875565819766,-0.397396609080007,-0.397396609080007,100.480963796077,1460.0480112405
"3",2,-0.339962783803919,-0.416193427911254,0.183161575832452,-0.397396609080007,-0.637421116365222,100.480963796077,123.886963906498
"4",1,11.926263682368,11.9240137795857,0.000188686697606425,11.986201530223,11.986201530223,8275.96275238995,8220.08885856086
"5",2,11.926263682368,11.9483876427204,0.00185162726670083,11.986201530223,11.9801086105794,8275.96275238995,8220.19817889498
"6",1,0.722283335922971,0.774773015237597,0.0677484608811898,0.762861296413997,0.762861296413997,1726.19067002833,4689.94280528733
"7",2,0.722283335922971,0.719943955903714,0.00324939184512011,0.762861296413997,0.154351652948677,1726.19067002833,3376.51188186307
"8",1,-0.393752125065823,-0.393784740877668,8.28265000109222e-05,-0.380182875798272,-0.380182875798272,100,100
"9",2,-0.393752125065823,-0.39327381822992,0.00121621835406173,-0.380182875798272,-0.380347409894707,100,100
"10",1,27.6836200192671,27.683418345245,7.28501154037842e-06,27.7978669391434,27.7978669391434,9137.79927683486,9137.76405711566
"11",2,27.6836200192671,27.683519491988,3.63130414683873e-06,27.7978669391434,27.7978668958656,9137.79927683486,9137.76343675182
"12",1,100.568180352342,100.542582806669,0.000254594073065532,100.919080114376,100.919080114376,9743.46150201829,9743.49733273767
"13",2,100.568180352342,100.551301855731,0.000167859553285669,100.919080114376,100.918992369634,9743.46150201829,9743.48639566745
"14",1,0.822204731524853,0.79834339359513,0.0298885643961677,0.816672999788416,0.816672999788416,2497.23503946937,3296.5093412785
"15",2,0.822204731524853,0.813651376253033,0.0105123097206683,0.816672999788416,0.757805461773873,2497.23503946937,2642.71280115706
"16",1,17.4952211136364,17.3925468218748,0.00590335002763508,17.5004979226195,17.5004979226195,8600.40788629872,8622.7914913547
"17",2,17.4952211136364,17.519264990448,0.00137242497471817,17.5004979226195,17.3736943455811,8600.40788629872,8604.5632277868
"18",1,108.136244074168,107.949458659125,0.00173030432355195,108.364617384583,108.364617384583,9735.71093127162,9735.93652115552
"19",2,108.136244074168,108.026452127535,0.00101634316846242,108.364617384583,108.358198603168,9735.71093127162,9735.85761501971
"20",1,46.5609080333794,46.570153914815,0.000198536630404221,46.7564448689832,46.7564448689832,9435.04102520218,9435.12238520102
"21",2,46.5609080333794,46.5952366543295,0.000736740993608357,46.7564448689832,46.7548609161041,9435.04102520218,9435.01056783138
