"","N","mean"
"1",10,0.00247722920618129
"2",30,0.00213270337867732
"3",31,0.00106256473486221
"4",32,0.000759838713670429
"5",33,0.00210550296722583
"6",34,0.000123604230110193
"7",35,0.00805644599897277
"8",36,0.000678763326895752
"9",37,0.00384499976053137
"10",38,7.59267726155533e-05
"11",39,0.00912759005302142
"12",40,0.000195746410414442
"13",41,0.00971965269536902
"14",42,0.000192145115387181
"15",43,0.000388300239930635
"16",44,0.00996803163514774
"17",45,0.0125163828400743
"18",46,0.000538656996451032
"19",47,0.000378460520400436
"20",48,0.000182099879179317
"21",49,0.0001259511539862
"22",50,0.000103872164867229
"23",51,4.95973960061803
"24",52,8.12298355041069e-05
"25",53,6.33568332153836e-05
"26",54,0.000254386966255245
"27",55,0.00188940623488865
"28",56,0.000233963412898309
"29",57,0.00298123467267057
"30",58,0.00203696312844515
"31",59,0.000370239020090546
"32",60,0.00130701253084407
"33",61,9.2520864227964e-05
"34",62,0.354851478071976
"35",63,0.000420537810222096
"36",64,0.00208406070815411
"37",65,0.0039282129998631
"38",66,0.000179368991796389
"39",67,0.000366663483166976
"40",68,6.77547304603247e-05
"41",69,0.000435348235306322
"42",70,0.000137569663396401
"43",71,0.000313446090081785
"44",72,0.000217124023030225
"45",73,0.000194393093776201
"46",74,0.00103174380373429
"47",75,0.000669311196031078
"48",76,0.0123677912785968
"49",77,0.000143552429367593
"50",78,0.000475999379551704
"51",79,7.4671753890987e-05
"52",80,7.73203490086899e-05
"53",81,4.33934613617669e-05
"54",82,2.68414843070346e-05
"55",83,3.70608881049665e-05
"56",84,2.89334613457614e-05
"57",85,5.02663125488203e-05
"58",86,1.55974297001942e-05
"59",87,0.0120191014539832
"60",88,2.14425848694755e-05
"61",89,0.000163532108143016
"62",90,3.78543880559965e-05
"63",91,0.000196332394734921
"64",92,5.86033701181609e-05
"65",93,0.000104032406733496
"66",94,0.00109977620391598
"67",95,3.8917583083162e-05
"68",96,8.03239095195693e-05
"69",97,0.00113800971695357
"70",98,0.000210127978614854
"71",99,5.14977781424771e-05
"72",100,0.000178594327983857
